"sccs_id","slat","slon","focal_yr","plant1_start","plant1_end","plant2_start","plant2_end","plant3_start","plant3_end","plant4_start","plant4_end","ghcn1","lat1","lon1","elev1","ghcn2","lat2","lon2","elev2","ghcn3","lat3","lon3","elev3","ghcn4","lat4","lon4","elev4"
"144",44.54999924,-79.84999847,1634,118,184,NA,NA,NA,NA,NA,NA,"CA006112278",44.5833,-79.9,213,"CA006119668",44.65,-79.9167,690,"CA006115099",44.45,-79.7667,226,"CA006113580",44.55,-79.6667,335
"150",36.24000168,-112.6900024,1918,NA,NA,130,152,74,152,NA,NA,"USC00028343",36.2,-112.7,976.6,"USR0000AROB",36.4706,-112.8414,1694.7,"USC00028895",36.2861,-113.0636,1455.4,"USR0000ANIX",36.39,-113.1522,1981.2
"151",31.78000069,-112.9000015,1910,74,152,NA,NA,NA,NA,NA,NA,"USW00053168",31.9497,-112.8014,506.3,"USC00026132",31.9556,-112.8003,511.5,"USC00026233",31.7833,-112.2833,555,"USC00026630",32.05,-112.3167,580
"154",18.21999931,-94.87000275,1940,118,180,121,151,NA,NA,NA,NA,"MX000030033",18.43,-95.02,335,"MX000020334",17.18,-95.13,5,"MX000020014",18.02,-96.28,42,"MX000020152",18.25,-96.4,80
"156",14.17000008,-83.30999756,1921,NA,NA,NA,NA,NA,NA,NA,NA,"HO000078711",15.217,-83.8,13,"CO000080001",12.583,-81.717,6,"NU000055029",12.93,-85.53,475,"NU000055002",12.95,-85.86,790
"159",12,-71.75,1947,NA,NA,NA,NA,NA,NA,NA,NA,"VE000000031",11,-72.27,288,"VE000001000",10.95,-72.23,1281,"VE000000117",11.9,-70.1,668,"VE000000195",11.17,-69.98,660
"160",18.82999992,-72.11000061,1935,60,120,32,90,NA,NA,NA,NA,"DRW00011650",18.5,-69.75,35.1,"BFW00012714",21.4333,-71.1333,3,"CUW00011706",19.9,-75.15,16.2,"BFW00012715",22.3667,-73.0333,21
"162",9.140000343,-61.18000031,1935,NA,NA,NA,NA,NA,NA,NA,NA,"TDW00011610",10.6167,-61.2167,41.1,"TDW00011621",10.6833,-61.6167,13.1,"VE000003994",8.02,-62.38,947,"VE000080423",10.583,-62.317,14
"164",7.380000114,-59.72999954,1932,NA,NA,NA,NA,NA,NA,NA,NA,"VE000005911",6.75,-61.17,1169,"VE000080453",7.3,-61.45,181,"GYW00010502",6.5,-58.25,29.3,"VE000003994",8.02,-62.38,947
"165",4.349999905,-55.22000122,1928,71,233,NA,NA,NA,NA,NA,NA,"FG000081405",4.833,-52.367,9,"BR008154000",1.22,-54.66,0,"BR008351002",3.81,-51.86,0,"GYW00010502",6.5,-58.25,29.3
"168",1.059999943,-79.01999664,1908,NA,NA,NA,NA,NA,NA,NA,NA,"EC000000026",-0.49,-79.36,260,"CO000080342",1.417,-77.267,1826,"EC000000124",-0.92,-79.22,223,"EC000000006",-1.1,-79.467,73
"172",-15.96000004,-70.01000214,1940,223,325,NA,NA,NA,NA,NA,NA,"PE000084752",-16.332,-71.567,2520,"BL000085230",-17.58,-69.6,-999.9,"CI000085406",-18.35,-70.333,58,"BL000085141",-14.47,-67.57,-999.9
"173",-13.02999973,-63.04000092,1942,335,365,NA,NA,254,325,NA,NA,"BR001262000",-12.85,-62.9,0,"BL000085114",-13.333,-64.117,140,"BR001264000",-12.417,-64.383,180,"BR001161002",-11.75,-61.78,0
"179",-12.30000019,-51.59000015,1958,NA,NA,NA,NA,NA,NA,NA,NA,"BR001251000",-12.16,-51.7,0,"BR001152000",-11.72,-51.7,0,"BR001250001",-12.29,-50.96,0,"BR001151000",-11.67,-51.38,0
"182",-23.5,-58.5,1889,NA,NA,NA,NA,NA,NA,NA,NA,"PA000086134",-23.43,-57.417,74,"PA000086086",-22.283,-57.933,87,"BR002157004",-21.717,-57.883,98,"PA000086218",-25.25,-57.51,101
"184",-38.70000076,-72.58999634,1950,101,232,NA,NA,NA,NA,NA,NA,"CI000085743",-38.75,-72.633,114,"CI000085799",-41.433,-73.1,90,"CIW00054701",-41.4667,-72.8167,11.3,"AR000087715",-38.95,-68.133,273
"185",-39.95999908,-65.44999695,1870,NA,NA,NA,NA,NA,NA,NA,NA,"AR000087715",-38.95,-68.133,273,"AR000877500",-38.733,-62.167,75,"AR000087828",-43.2,-65.266,43,"AR000087623",-36.567,-64.266,192
"186",-53.34000015,-71.16000366,1865,NA,NA,NA,NA,NA,NA,NA,NA,"CI000085934",-53,-70.967,37,"AR000087925",-51.617,-69.283,19,"CI000085874",-45.917,-71.7,525,"AR000087860",-45.783,-67.5,58
"185s",-45,-68,1870,NA,NA,NA,NA,NA,NA,NA,NA,"AR000087860",-45.783,-67.5,58,"AR000087828",-43.2,-65.266,43,"CI000085874",-45.917,-71.7,525,"AR000087803",-42.933,-71.15,799
"25s",15,7,1951,NA,NA,NA,NA,NA,NA,NA,NA,"NG000001080",13.47,7.08,388,"NG000001043",14.9,5.25,384,"NG000061043",14.9,5.25,391,"NG000001075",13.8,5.25,272
"46s",31.75,28.5,1913,305,334,70,102,NA,NA,NA,NA,"EG000062306",31.3331,27.2167,25,"EGE00147724",31.55,25.18,4,"EGE00147729",30.03,31.21,28,"EGE00147728",30.05,31.25,20
"53s",68,52,1894,NA,NA,NA,NA,NA,NA,NA,NA,"RSM00023205",67.6331,53.0331,5,"RSM00023207",67.017,51.2,18,"RSM00022292",67.7,48.77,4,"RSM00023114",68.55,55.5,5
"65s",42,70,1885,NA,NA,NA,NA,NA,NA,NA,NA,"KZ000038337",42.233,70.117,1122,"UZM00038462",41.9,70.367,1258,"KZ000038328",42.317,69.7,604,"UZM00038464",41.6,70,971
