"GHCN_ID","Start_yr","End_yr","Yr_count","HofX","HofY","HofXY","HXofY","s","t","P","C","M","CbyP","MbyP","Mutual","GC","C_freedom","GM","M_freedom","GP","P_freedom"
"MX000030033",1952,1998,47,0.602059991327962,0.602802901230169,0.923520682181409,0.321460690853446,10,4,0.678539309146554,0.397197098769831,0.281342210376723,0.585370800800639,0.414629199199361,0.281342210376723,639.118104103218,9,105.784671101648,27,744.902775204865,36
"MY000096413",1955,2017,63,0.602059991327962,0.355605994477183,0.922308436199176,0.320248444871214,10,4,0.679751555128786,0.644394005522817,0.0353575496059698,0.947984599168337,0.0520154008316626,0.0353575496059699,981.277465652499,9,17.8202050014088,27,999.097670653907,36
"MY000096441",1955,2017,63,0.602059991327962,0.325692294205178,0.90642014689845,0.304360155570487,10,4,0.695639844429513,0.674307705794822,0.0213321386346907,0.969334507208705,0.0306654927912949,0.0213321386346907,996.353970589589,9,10.7513978718841,27,1007.10536846147,36
"MY000096465",1955,2017,63,0.602059991327962,0.334937702698312,0.893902250836184,0.291842259508222,10,4,0.708157740491778,0.665062297301688,0.0430954431900903,0.939144288446014,0.0608557115539863,0.0430954431900903,991.69428470905,9,21.7201033678055,27,1013.41438807686,36
"MY000096491",1955,2017,63,0.602059991327962,0.49491914308623,1.07786027371432,0.47580028238636,10,4,0.52419971761364,0.50508085691377,0.0191188606998705,0.963527525755056,0.0364724742449441,0.0191188606998704,911.063638753539,9,9.63590579273471,27,920.699544546274,36
"NG000001024",1945,1980,36,0.602059991327962,0.687589712283671,0.917131719856216,0.315071728528253,10,4,0.684928271471747,0.312410287716329,0.372517983755417,0.456121174623197,0.543878825376803,0.372517983755417,465.118669644588,9,107.28517932156,27,572.403848966148,36
"NG000001043",1939,1980,42,0.602059991327962,0.714436842805837,0.946284373107684,0.344224381779721,10,4,0.655775618220279,0.285563157194163,0.370212461026116,0.435458637466819,0.564541362533182,0.370212461026116,533.617812063238,9,124.391386904775,27,658.009198968013,36
"NG000001075",1938,2017,80,0.602059991327962,0.735063038437331,0.963861806205324,0.361801814877362,10,4,0.638198185122638,0.264936961562669,0.373261223559969,0.415132740485243,0.584867259514757,0.373261223559969,1003.2141149163,9,238.88718307838,27,1242.10129799468,36
"NG000001080",1945,2017,73,0.602059991327962,0.785864506215659,1.0028113251189,0.400751333790942,10,4,0.599248666209058,0.214135493784341,0.385113172424717,0.357339958950591,0.642660041049409,0.385113172424717,885.764822678578,9,224.906092696035,27,1110.67091537461,36
"NG000001090",1906,2017,112,0.602059991327962,0.749496652126615,1.02284834435064,0.420788353022676,10,4,0.579211646977324,0.250503347873385,0.328708299103939,0.432490177261909,0.567509822738091,0.328708299103939,1391.56724301722,9,294.522635997129,27,1686.08987901435,36
"NG000061017",1938,2017,80,0.602059991327962,0.731662697497233,0.899877888295494,0.297817896967532,10,4,0.702182103032468,0.268337302502767,0.433844800529701,0.382147738234735,0.617852261765265,0.433844800529701,1005.39033311796,9,277.660672339009,27,1283.05100545697,36
"NG000061024",1957,2017,61,0.602059991327962,0.724515937392314,0.949267352523714,0.347207361195751,10,4,0.652792638804249,0.275484062607686,0.377308576196563,0.422008531089296,0.577991468910704,0.377308576196563,770.097747933645,9,184.126585183923,27,954.224333117568,36
"NG000061043",1961,2017,57,0.602059991327962,0.700097820741157,0.881573244105228,0.279513252777265,10,4,0.720486747222735,0.299902179258843,0.420584567963892,0.416249404190817,0.583750595809183,0.420584567963892,730.734196147317,9,191.786562991535,27,922.520759138852,36
"NH000091554",1976,2017,42,0.602059991327962,0.324995143743169,0.793131941404331,0.191071950076369,10,4,0.808928049923631,0.675004856256831,0.1339231936668,0.834443627366559,0.165556372633441,0.1339231936668,664.470222948295,9,44.9981930720447,27,709.468416020339,36
"NZ000093012",1966,2005,40,0.602059991327962,0.719066868547825,0.927687862839127,0.325627871511164,10,4,0.674372128488836,0.280933131452175,0.393438997036661,0.416584730572574,0.583415269427426,0.393438997036661,506.725831822791,9,125.900479051731,27,632.626310874522,36
"NZ000093292",1962,2017,56,0.602059991327962,0.727550571266289,0.899537319577389,0.297477328249426,10,4,0.702522671750574,0.272449428733711,0.430073243016863,0.387815852340837,0.612184147659163,0.430073243016863,705.615465734035,9,192.672812871555,27,898.28827860559,36
"NZ000093417",1972,2017,46,0.602059991327962,0.712240127433121,0.917289920922228,0.315229929594266,10,4,0.684770070405734,0.287759872566879,0.397010197838855,0.420228460622377,0.579771539377623,0.397010197838855,585.24694732642,9,146.099752804699,27,731.346700131119,36
"NZ000933090",1944,2017,74,0.602059991327962,0.712951061526929,0.914450396104143,0.312390404776181,10,4,0.687609595223819,0.287048938473071,0.400560656750748,0.417459181004645,0.582540818995355,0.400560656750748,941.063346628533,9,237.131908796443,27,1178.19525542498,36
"PA000086134",1973,2017,45,0.602059991327962,0.723553063435603,0.912344537738996,0.310284546411034,10,4,0.689715453588966,0.276446936564397,0.413268517024569,0.400813023872226,0.599186976127774,0.413268517024569,568.45153064104,9,148.776666128845,27,717.228196769884,36
"PE000084752",1948,2017,70,0.602059991327962,0.406416939760809,0.85073526699645,0.248675275668488,10,4,0.751324724331512,0.593583060239191,0.157741664092321,0.790048618148869,0.209951381851131,0.157741664092321,1061.85416581061,9,88.3353318916999,27,1150.18949770231,36
